gameweek,player_name,team,position,predicted_state,actual_state,predicted_xp,actual_points,predicted_xm,actual_minutes,decision_relevance,ledger_category,estimated_point_cost
13,Riccardo Calafiori,ARS,DEFENDER,START,START,4.32,0,76.6,45,STARTER,HARMLESS,0.0
13,Jurriën Timber,ARS,DEFENDER,START,START,4.49,2,76.6,90,STARTER,HARMLESS,0.0
13,Antoine Semenyo,BOU,MIDFIELDER,START,START,3.51,1,51.1,90,BENCH,HARMLESS,0.0
13,Bryan Mbeumo,MUN,MIDFIELDER,START,START,3.99,1,76.8,90,STARTER,HARMLESS,0.0
13,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,5.38,13,76.6,90,CAPTAIN,HARMLESS,0.0
13,Danny Welbeck,BHA,FORWARD,START,START,3.83,2,76.6,64,STARTER,HARMLESS,0.0
13,Marc Cucurella Saseta,CHE,DEFENDER,START,START,3.59,1,76.6,90,STARTER,HARMLESS,0.0
13,Enzo Fernández,CHE,MIDFIELDER,START,START,4.24,2,72.4,90,STARTER,HARMLESS,0.0
13,Ismaïla Sarr,CRY,MIDFIELDER,START,START,4.1,1,76.8,37,STARTER,HARMLESS,0.0
13,Jean-Philippe Mateta,CRY,FORWARD,START,START,4.17,6,60.1,90,STARTER,HARMLESS,0.0
13,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,4.1,11,76.8,90,STARTER,HARMLESS,0.0
13,Nick Pope,NEW,GOALKEEPER,START,NO_PLAY,3.7,0,79.6,0,BENCH,HARMLESS,0.0
13,Guglielmo Vicario,TOT,GOALKEEPER,START,START,3.78,1,79.6,90,STARTER,HARMLESS,0.0
13,Pedro Porro Sauceda,TOT,DEFENDER,START,START,3.0,1,60.9,90,BENCH,HARMLESS,0.0
14,Riccardo Calafiori,ARS,DEFENDER,START,START,4.2,7,63.4,90,STARTER,HARMLESS,0.0
14,Jurriën Timber,ARS,DEFENDER,START,SUB,4.96,1,76.5,46,CAPTAIN,PREDICTION_ERROR,4.0
14,Antoine Semenyo,BOU,MIDFIELDER,START,START,3.98,4,57.4,90,STARTER,HARMLESS,0.0
14,Bryan Mbeumo,MUN,MIDFIELDER,START,START,4.62,2,76.8,90,STARTER,HARMLESS,0.0
14,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,SUB,3.83,1,76.6,30,STARTER,PREDICTION_ERROR,2.8
14,Danny Welbeck,BHA,FORWARD,START,SUB,3.56,1,60.1,23,STARTER,PREDICTION_ERROR,2.6
14,Marc Cucurella Saseta,CHE,DEFENDER,START,START,3.37,1,76.5,90,BENCH,HARMLESS,0.0
14,Enzo Fernández,CHE,MIDFIELDER,START,START,4.16,2,75.9,90,STARTER,HARMLESS,0.0
14,Daniel Muñoz Mejía,CRY,DEFENDER,START,START,4.31,14,76.6,90,STARTER,HARMLESS,0.0
14,Ismaïla Sarr,CRY,MIDFIELDER,START,NO_PLAY,3.38,0,59.2,0,BENCH,HARMLESS,0.0
14,Jean-Philippe Mateta,CRY,FORWARD,START,START,4.16,2,60.2,63,STARTER,HARMLESS,0.0
14,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,4.92,4,76.8,90,STARTER,HARMLESS,0.0
14,Nick Pope,NEW,GOALKEEPER,START,NO_PLAY,3.22,0,56.4,0,BENCH,HARMLESS,0.0
14,Guglielmo Vicario,TOT,GOALKEEPER,START,START,3.18,2,79.5,90,STARTER,HARMLESS,0.0
14,Pedro Porro Sauceda,TOT,DEFENDER,START,START,2.48,1,60.8,90,BENCH,HARMLESS,0.0
15,Riccardo Calafiori,ARS,DEFENDER,START,START,3.29,1,62.0,85,STARTER,HARMLESS,0.0
15,Jurriën Timber,ARS,DEFENDER,START,START,3.16,3,61.0,90,STARTER,HARMLESS,0.0
15,Antoine Semenyo,BOU,MIDFIELDER,START,START,3.93,3,57.6,90,STARTER,HARMLESS,0.0
15,Bryan Mbeumo,MUN,MIDFIELDER,START,START,4.06,8,76.8,90,STARTER,HARMLESS,0.0
15,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,3.75,2,57.1,90,STARTER,HARMLESS,0.0
15,Danny Welbeck,BHA,FORWARD,START,START,3.74,2,57.1,90,STARTER,HARMLESS,0.0
15,Marc Cucurella Saseta,CHE,DEFENDER,START,START,2.73,6,76.5,90,AUTOSUB_IN,HARMLESS,0.0
15,Enzo Fernández,CHE,MIDFIELDER,START,START,3.66,3,73.2,90,STARTER,HARMLESS,0.0
15,Daniel Muñoz Mejía,CRY,DEFENDER,START,NO_PLAY,4.12,0,76.6,0,STARTER,BOTH,4.1
15,Ismaïla Sarr,CRY,MIDFIELDER,START,NO_PLAY,2.58,0,44.3,0,BENCH,HARMLESS,0.0
15,Jean-Philippe Mateta,CRY,FORWARD,START,START,3.73,2,59.1,65,STARTER,HARMLESS,0.0
15,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,4.48,18,76.8,90,CAPTAIN,HARMLESS,0.0
15,Guglielmo Vicario,TOT,GOALKEEPER,START,START,3.62,6,79.5,90,BENCH,HARMLESS,0.0
15,Pedro Porro Sauceda,TOT,DEFENDER,START,START,2.86,5,61.0,90,BENCH,HARMLESS,0.0
15,Gianluigi Donnarumma,MCI,GOALKEEPER,START,START,3.83,6,79.5,90,STARTER,HARMLESS,0.0
16,Riccardo Calafiori,ARS,DEFENDER,START,NO_PLAY,4.96,0,64.6,0,STARTER,BOTH,5.0
16,Jurriën Timber,ARS,DEFENDER,START,START,4.97,2,61.3,90,STARTER,HARMLESS,0.0
16,Declan Rice,ARS,MIDFIELDER,START,START,4.48,2,76.7,90,STARTER,HARMLESS,0.0
16,Antoine Semenyo,BOU,MIDFIELDER,START,START,3.62,6,72.6,90,STARTER,HARMLESS,0.0
16,Bryan Mbeumo,MUN,MIDFIELDER,START,START,4.32,2,76.8,90,STARTER,HARMLESS,0.0
16,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,4.32,2,57.3,90,STARTER,HARMLESS,0.0
16,Danny Welbeck,BHA,FORWARD,START,SUB,2.86,1,57.2,8,BENCH,HARMLESS,0.0
16,Marc Cucurella Saseta,CHE,DEFENDER,START,START,3.84,6,76.6,90,STARTER,HARMLESS,0.0
16,Enzo Fernández,CHE,MIDFIELDER,START,START,4.45,3,76.8,90,STARTER,HARMLESS,0.0
16,Daniel Muñoz Mejía,CRY,DEFENDER,START,NO_PLAY,3.37,0,55.3,0,BENCH,HARMLESS,0.0
16,Jean-Philippe Mateta,CRY,FORWARD,START,START,3.68,2,59.3,62,STARTER,HARMLESS,0.0
16,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,5.07,13,76.8,90,CAPTAIN,HARMLESS,0.0
16,Guglielmo Vicario,TOT,GOALKEEPER,START,START,3.21,2,79.6,90,BENCH,HARMLESS,0.0
16,Pedro Porro Sauceda,TOT,DEFENDER,START,START,2.74,0,75.0,90,AUTOSUB_IN,HARMLESS,0.0
16,Gianluigi Donnarumma,MCI,GOALKEEPER,START,START,3.34,7,79.6,90,STARTER,HARMLESS,0.0
17,Riccardo Calafiori,ARS,DEFENDER,START,START,3.2,6,55.1,90,BENCH,HARMLESS,0.0
17,Jurriën Timber,ARS,DEFENDER,START,START,3.51,6,61.3,90,STARTER,HARMLESS,0.0
17,Declan Rice,ARS,MIDFIELDER,START,START,3.48,11,76.7,90,STARTER,HARMLESS,0.0
17,Antoine Semenyo,BOU,MIDFIELDER,START,START,4.9,10,72.6,90,CAPTAIN,HARMLESS,0.0
17,Bryan Mbeumo,MUN,MIDFIELDER,START,NO_PLAY,3.63,0,76.8,0,STARTER,BOTH,3.6
17,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,3.81,2,57.3,90,STARTER,HARMLESS,0.0
17,Danny Welbeck,BHA,FORWARD,START,NO_PLAY,3.06,0,44.1,0,BENCH,HARMLESS,0.0
17,Marc Cucurella Saseta,CHE,DEFENDER,START,START,3.37,1,76.6,90,STARTER,HARMLESS,0.0
17,Enzo Fernández,CHE,MIDFIELDER,START,SUB,4.03,1,76.8,36,STARTER,PREDICTION_ERROR,3.0
17,Jean-Philippe Mateta,CRY,FORWARD,START,START,3.54,2,58.1,76,STARTER,HARMLESS,0.0
17,Nico O'Reilly,MCI,DEFENDER,START,START,4.74,6,76.6,90,STARTER,HARMLESS,0.0
17,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,4.31,1,76.8,45,STARTER,HARMLESS,0.0
17,Guglielmo Vicario,TOT,GOALKEEPER,START,START,3.67,1,79.6,90,BENCH,HARMLESS,0.0
17,Pedro Porro Sauceda,TOT,DEFENDER,START,START,3.18,1,75.0,90,AUTOSUB_IN,HARMLESS,0.0
17,Gianluigi Donnarumma,MCI,GOALKEEPER,START,START,4.15,7,79.6,90,STARTER,HARMLESS,0.0
